date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:23:14	3421/3421	---M--	200	added ('OK')	text/html	date:Thu,%2021%20Mar%202019%2008:00:55%20GMT	https://www.smartpiggybank.com/	C:/My%20Web%20Sites/AMEX/www.smartpiggybank.com/index.html	(from )
13:23:15	125/125	---M--	200	added ('OK')	text/plain	date:Mon,%2022%20Oct%202007%2017:30:01%20GMT	https://www.smartpiggybank.com/robots.txt		(from )
13:23:15	667/667	---M--	200	added ('OK')	text/css	date:Mon,%2022%20Oct%202007%2004:52:19%20GMT	https://www.smartpiggybank.com/stylesheets/allow.css?1193028739	C:/My%20Web%20Sites/AMEX/www.smartpiggybank.com/stylesheets/allowa396.css	(from https://www.smartpiggybank.com/)
13:23:16	13416/13416	---M--	200	added ('OK')	image/jpeg	date:Mon,%2022%20Oct%202007%2004:57:36%20GMT	https://www.smartpiggybank.com/images/piggyBankPhoto.jpg	C:/My%20Web%20Sites/AMEX/www.smartpiggybank.com/images/piggyBankPhoto.jpg	(from https://www.smartpiggybank.com/)
13:23:16	2067/2067	---M--	200	added ('OK')	text/html	date:Thu,%2021%20Mar%202019%2008:00:56%20GMT	https://www.smartpiggybank.com/main/login	C:/My%20Web%20Sites/AMEX/www.smartpiggybank.com/main/login.html	(from https://www.smartpiggybank.com/)
13:23:16	3443/3443	---M--	200	added ('OK')	text/html	date:Thu,%2021%20Mar%202019%2008:00:57%20GMT	https://www.smartpiggybank.com/main/add_parent	C:/My%20Web%20Sites/AMEX/www.smartpiggybank.com/main/add_parent.html	(from https://www.smartpiggybank.com/)
13:23:17	5435/5435	---M--	200	added ('OK')	text/html	date:Thu,%2021%20Mar%202019%2008:00:57%20GMT	https://www.smartpiggybank.com/help/faq	C:/My%20Web%20Sites/AMEX/www.smartpiggybank.com/help/faq.html	(from https://www.smartpiggybank.com/)
13:23:17	2644/2644	---M--	200	added ('OK')	text/html	date:Thu,%2021%20Mar%202019%2008:00:57%20GMT	https://www.smartpiggybank.com/main/contact	C:/My%20Web%20Sites/AMEX/www.smartpiggybank.com/main/contact.html	(from https://www.smartpiggybank.com/)
13:23:17	2034/2034	---M--	200	added ('OK')	text/html	date:Thu,%2021%20Mar%202019%2008:00:58%20GMT	https://www.smartpiggybank.com/main/recover_pwd	C:/My%20Web%20Sites/AMEX/www.smartpiggybank.com/main/recover_pwd.html	(from https://www.smartpiggybank.com/main/login)
13:23:18	946/946	---M--	200	added ('OK')	text/html	date:Thu,%2021%20Mar%202019%2008:00:58%20GMT	https://www.smartpiggybank.com/help/tour	C:/My%20Web%20Sites/AMEX/www.smartpiggybank.com/help/tour.html	(from https://www.smartpiggybank.com/help/faq)
